City,Pincode,Neighborhood,Latitude,Longitude
Mumbai,400056,Vileparle(West),18.0704,75.7484
Mumbai,400056,IRLA,18.0704,75.7484
Mumbai,400057,Vileparle Railway Station,19.0111,73.8747
Mumbai,400057,Hanuman Road,19.0111,73.8747
Mumbai,400057,Vileeparle (East),19.0111,73.8747
Mumbai,400058,H.M.P. School,19.0111,73.8747
Mumbai,400058,Andheri Railway Station,19.0111,73.8747
Mumbai,400059,J.B. Nagar,19.0111,73.8747
Mumbai,400059,Marol Naka,19.0111,73.8747
Mumbai,400059,Marol Bazar,19.0111,73.8747
Mumbai,400060,Jogeshwari East,19.1699,72.8504
Mumbai,400061,Madh,19.15,72.8333
Mumbai,400061,Vesava,19.1391,72.8101
Mumbai,400063,Sharma Estate,19.1624,72.8694
Mumbai,400063,Goregaon East,19.1624,72.8694
Mumbai,400064,Malad West Dely,19.197,72.845
Mumbai,400064,Orlem,19.197,72.845
Mumbai,400064,Liberty Garden,19.197,72.845
Mumbai,400064,Malad,19.197,72.845
Mumbai,400065,S R P F Camp,19.1699,72.8504
Mumbai,400065,Nagari Niwara,19.1699,72.8504
Mumbai,400065,Aareymilk Colony,19.1699,72.8504
Mumbai,400066,Rajendra Nagar (Mumbai),19.1699,72.8504
Mumbai,400066,Borivali East,19.1699,72.8504
Mumbai,400066,Magthane,19.1699,72.8504
Mumbai,400066,Daulat Nagar (Mumbai),19.1699,72.8504
Mumbai,400066,S. K.Nagar,19.1699,72.8504
Mumbai,400067,Kandivali West,19.1699,72.8504
Mumbai,400067,Kandivali RS,19.1699,72.8504
Mumbai,400067,Charkop,19.1699,72.8504
Mumbai,400068,Dahisar,19.2565,72.8733
Mumbai,400068,Ketkipada,19.2565,72.8733
Mumbai,400068,Dahisar RS,19.2565,72.8733
Mumbai,400069,Nagardas Road,19.1145,72.8712
Mumbai,400069,Andheri East,19.1145,72.8712
Mumbai,400070,Kurla North,19.0713,72.883
Mumbai,400070,Kurla,19.0713,72.883
Mumbai,400070,Netajinagar,19.0713,72.883
Mumbai,400071,Chembur,19.0348,72.8929
Mumbai,400071,Sindhi Society,19.0348,72.8929
Mumbai,400072,Vihar Road,19.0737,72.9009
Mumbai,400072,Sakinaka,19.0737,72.9009
Mumbai,400074,Chembur Extension,19.0737,72.9009
Mumbai,400074,FCI,19.0737,72.9009
Mumbai,400074,Mahul Road,19.0737,72.9009
Mumbai,400075,R.A.Nagar,19.0737,72.9009
Mumbai,400075,Pant Nagar,19.0737,72.9009
Mumbai,400075,Best Staff Colony,19.0737,72.9009
Mumbai,400076,Powai Iit,19.0737,72.9009
Mumbai,400077,Rajawadi,19.0737,72.9009
Mumbai,400078,P.H. Colony,19.0737,72.9009
Mumbai,400078,Bhandup Ind. Estate,19.0737,72.9009
Mumbai,400078,Usha Nagar,19.0737,72.9009
Mumbai,400078,J.M. Road,19.0737,72.9009
Mumbai,400078,Bhandup West,19.0737,72.9009
Mumbai,400079,Vikhroli,19.1149,72.9267
Mumbai,400079,Psm Colony,19.1149,72.9267
Mumbai,400080,S.B. Road,19.176,72.9522
Mumbai,400080,Nahur,19.176,72.9522
Mumbai,400080,Mulund Dd Road,19.176,72.9522
Mumbai,400080,Nehru Road (Mumbai),19.176,72.9522
Mumbai,400080,Mulund West,19.176,72.9522
